,abilities,attack,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
157,"['Torrent', 'Sheer Force']",65,314,45,Big Jaw Pok̩mon,64,1059860,0.6,50,Totodile,88.1,158,44,48,43,water,,9.5,2,0
158,"['Torrent', 'Sheer Force']",80,405,45,Big Jaw Pok̩mon,80,1059860,1.1,65,Croconaw,88.1,159,59,63,58,water,,25.0,2,0
159,"['Torrent', 'Sheer Force']",105,530,45,Big Jaw Pok̩mon,100,1059860,2.3,85,Feraligatr,88.1,160,79,83,78,water,,88.8,2,0
160,"['Run Away', 'Keen Eye', 'Frisk']",46,215,255,Scout Pok̩mon,34,1000000,0.8,35,Sentret,50.0,161,35,45,20,normal,,6.0,2,0
161,"['Run Away', 'Keen Eye', 'Frisk']",76,415,90,Long Body Pok̩mon,64,1000000,1.8,85,Furret,50.0,162,45,55,90,normal,,32.5,2,0
162,"['Insomnia', 'Keen Eye', 'Tinted Lens']",30,262,255,Owl Pok̩mon,30,1000000,0.7,60,Hoothoot,50.0,163,36,56,50,normal,flying,21.2,2,0
163,"['Insomnia', 'Keen Eye', 'Tinted Lens']",50,452,90,Owl Pok̩mon,50,1000000,1.6,100,Noctowl,50.0,164,86,96,70,normal,flying,40.8,2,0
164,"['Swarm', 'Early Bird', 'Rattled']",20,265,255,Five Star Pok̩mon,30,800000,1.0,40,Ledyba,50.0,165,40,80,55,bug,flying,10.8,2,0
165,"['Swarm', 'Early Bird', 'Iron Fist']",35,390,90,Five Star Pok̩mon,50,800000,1.4,55,Ledian,50.0,166,55,110,85,bug,flying,35.6,2,0
166,"['Swarm', 'Insomnia', 'Sniper']",60,250,255,String Spit Pok̩mon,40,800000,0.5,40,Spinarak,50.0,167,40,40,30,bug,poison,8.5,2,0
167,"['Swarm', 'Insomnia', 'Sniper']",90,400,90,Long Leg Pok̩mon,70,800000,1.1,70,Ariados,50.0,168,60,70,40,bug,poison,33.5,2,0
168,"['Inner Focus', 'Infiltrator']",90,535,90,Bat Pok̩mon,80,1000000,1.8,85,Crobat,50.0,169,70,80,130,poison,flying,75.0,2,0
169,"['Volt Absorb', 'Illuminate', 'Water Absorb']",38,330,190,Angler Pok̩mon,38,1250000,0.5,75,Chinchou,50.0,170,56,56,67,water,electric,12.0,2,0
170,"['Volt Absorb', 'Illuminate', 'Water Absorb']",58,460,75,Light Pok̩mon,58,1250000,1.2,125,Lanturn,50.0,171,76,76,67,water,electric,22.5,2,0
171,"['Static', 'Lightningrod']",40,205,190,Tiny Mouse Pok̩mon,15,1000000,0.3,20,Pichu,50.0,172,35,35,60,electric,,2.0,2,0
172,"['Cute Charm', 'Magic Guard', 'Friend Guard']",25,218,150,Star Shape Pok̩mon,28,800000,0.3,50,Cleffa,24.6,173,45,55,15,fairy,,3.0,2,0
173,"['Cute Charm', 'Competitive', 'Friend Guard']",30,210,170,Balloon Pok̩mon,15,800000,0.3,90,Igglybuff,24.6,174,40,20,15,normal,fairy,1.0,2,0
174,"['Hustle', 'Serene Grace', 'Super Luck']",20,245,190,Spike Ball Pok̩mon,65,800000,0.3,35,Togepi,88.1,175,40,65,20,fairy,,1.5,2,0
175,"['Hustle', 'Serene Grace', 'Super Luck']",40,405,75,Happiness Pok̩mon,85,800000,0.6,55,Togetic,88.1,176,80,105,40,fairy,flying,3.2,2,0
176,"['Synchronize', 'Early Bird', 'Magic Bounce']",50,320,190,Little Bird Pok̩mon,45,1000000,0.2,40,Natu,50.0,177,70,45,70,psychic,flying,2.0,2,0
177,"['Synchronize', 'Early Bird', 'Magic Bounce']",75,470,75,Mystic Pok̩mon,70,1000000,1.5,65,Xatu,50.0,178,95,70,95,psychic,flying,15.0,2,0
178,"['Static', 'Plus']",40,280,235,Wool Pok̩mon,40,1059860,0.6,55,Mareep,50.0,179,65,45,35,electric,,7.8,2,0
179,"['Static', 'Plus']",55,365,120,Wool Pok̩mon,55,1059860,0.8,70,Flaaffy,50.0,180,80,60,45,electric,,13.3,2,0
180,"['Static', 'Plus']",95,610,45,Light Pok̩mon,105,1059860,1.4,90,Ampharos,50.0,181,165,110,45,electric,,61.5,2,0
181,"['Chlorophyll', 'Healer']",80,490,45,Flower Pok̩mon,95,1059860,0.4,75,Bellossom,50.0,182,90,100,50,grass,,5.8,2,0
182,"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,250,190,Aquamouse Pok̩mon,50,800000,0.4,70,Marill,50.0,183,20,50,40,water,fairy,8.5,2,0
183,"['Thick Fat', 'Huge Power', 'Sap Sipper']",50,420,75,Aquarabbit Pok̩mon,80,800000,0.8,100,Azumarill,50.0,184,60,80,50,water,fairy,28.5,2,0
184,"['Sturdy', 'Rock Head', 'Rattled']",100,410,65,Imitation Pok̩mon,115,1000000,1.2,70,Sudowoodo,50.0,185,30,65,30,rock,,38.0,2,0
185,"['Water Absorb', 'Damp', 'Drizzle']",75,500,45,Frog Pok̩mon,75,1059860,1.1,90,Politoed,50.0,186,90,100,70,water,,33.9,2,0
186,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",35,250,255,Cottonweed Pok̩mon,40,1059860,0.4,35,Hoppip,50.0,187,35,55,50,grass,flying,0.5,2,0
187,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",45,340,120,Cottonweed Pok̩mon,50,1059860,0.6,55,Skiploom,50.0,188,45,65,80,grass,flying,1.0,2,0
188,"['Chlorophyll', 'Leaf Guard', 'Infiltrator']",55,460,45,Cottonweed Pok̩mon,70,1059860,0.8,75,Jumpluff,50.0,189,55,95,110,grass,flying,3.0,2,0
189,"['Run Away', 'Pickup', 'Skill Link']",70,360,45,Long Tail Pok̩mon,55,800000,0.8,55,Aipom,50.0,190,40,55,85,normal,,11.5,2,0
190,"['Chlorophyll', 'Solar Power', 'Early Bird']",30,180,235,Seed Pok̩mon,30,1059860,0.3,30,Sunkern,50.0,191,30,30,30,grass,,1.8,2,0
191,"['Chlorophyll', 'Solar Power', 'Early Bird']",75,425,120,Sun Pok̩mon,55,1059860,0.8,75,Sunflora,50.0,192,105,85,30,grass,,8.5,2,0
192,"['Speed Boost', 'Compoundeyes', 'Frisk']",65,390,75,Clear Wing Pok̩mon,45,1000000,1.2,65,Yanma,50.0,193,75,45,95,bug,flying,38.0,2,0
193,"['Damp', 'Water Absorb', 'Unaware']",45,210,255,Water Fish Pok̩mon,45,1000000,0.4,55,Wooper,50.0,194,25,25,15,water,ground,8.5,2,0
194,"['Damp', 'Water Absorb', 'Unaware']",85,430,90,Water Fish Pok̩mon,85,1000000,1.4,95,Quagsire,50.0,195,65,65,35,water,ground,75.0,2,0
195,"['Synchronize', 'Magic Bounce']",65,525,45,Sun Pok̩mon,60,1000000,0.9,65,Espeon,88.1,196,130,95,110,psychic,,26.5,2,0
196,"['Synchronize', 'Inner Focus']",65,525,45,Moonlight Pok̩mon,110,1000000,1.0,95,Umbreon,88.1,197,60,130,65,dark,,27.0,2,0
197,"['Insomnia', 'Super Luck', 'Prankster']",85,405,30,Darkness Pok̩mon,42,1059860,0.5,60,Murkrow,50.0,198,85,42,91,dark,flying,2.1,2,0
198,"['Oblivious', 'Own Tempo', 'Regenerator']",75,490,70,Royal Pok̩mon,80,1000000,2.0,95,Slowking,50.0,199,100,110,30,water,psychic,79.5,2,0
199,['Levitate'],60,435,45,Screech Pok̩mon,60,800000,0.7,60,Misdreavus,50.0,200,85,85,85,ghost,,1.0,2,0
200,['Levitate'],72,336,225,Symbol Pok̩mon,48,1000000,0.5,48,Unown,,201,72,48,48,psychic,,5.0,2,0
201,"['Shadow Tag', 'Telepathy']",33,405,45,Patient Pok̩mon,58,1000000,1.3,190,Wobbuffet,50.0,202,33,58,33,psychic,,28.5,2,0
202,"['Inner Focus', 'Early Bird', 'Sap Sipper']",80,455,60,Long Neck Pok̩mon,65,1000000,1.5,70,Girafarig,50.0,203,90,65,85,normal,psychic,41.5,2,0
203,"['Sturdy', 'Overcoat']",65,290,190,Bagworm Pok̩mon,90,1000000,0.6,50,Pineco,50.0,204,35,35,15,bug,,7.2,2,0
204,"['Sturdy', 'Overcoat']",90,465,75,Bagworm Pok̩mon,140,1000000,1.2,75,Forretress,50.0,205,60,60,40,bug,steel,125.8,2,0
205,"['Serene Grace', 'Run Away', 'Rattled']",70,415,190,Land Snake Pok̩mon,70,1000000,1.5,100,Dunsparce,50.0,206,65,65,45,normal,,14.0,2,0
206,"['Hyper Cutter', 'Sand Veil', 'Immunity']",75,430,60,Flyscorpion Pok̩mon,105,1059860,1.1,65,Gligar,50.0,207,35,65,85,ground,flying,64.8,2,0
207,"['Rock Head', 'Sturdy', 'Sheer Force']",125,610,25,Iron Snake Pok̩mon,230,1000000,9.2,75,Steelix,50.0,208,55,95,30,steel,ground,400.0,2,0
208,"['Intimidate', 'Run Away', 'Rattled']",80,300,190,Fairy Pok̩mon,50,800000,0.6,60,Snubbull,24.6,209,40,40,30,fairy,,7.8,2,0
209,"['Intimidate', 'Quick Feet', 'Rattled']",120,450,75,Fairy Pok̩mon,75,800000,1.4,90,Granbull,24.6,210,60,60,45,fairy,,48.7,2,0
210,"['Poison Point', 'Swift Swim', 'Intimidate']",95,440,45,Balloon Pok̩mon,85,1000000,0.5,65,Qwilfish,50.0,211,55,55,85,water,poison,3.9,2,0
211,"['Swarm', 'Technician', 'Light Metal']",150,600,25,Pincer Pok̩mon,140,1000000,1.8,70,Scizor,50.0,212,65,100,75,bug,steel,118.0,2,0
212,"['Sturdy', 'Gluttony', 'Contrary']",10,505,190,Mold Pok̩mon,230,1059860,0.6,20,Shuckle,50.0,213,10,230,5,bug,rock,20.5,2,0
213,"['Swarm', 'Guts', 'Moxie']",185,600,45,Singlehorn Pok̩mon,115,1250000,1.5,80,Heracross,50.0,214,40,105,75,bug,fighting,54.0,2,0
214,"['Inner Focus', 'Keen Eye', 'Pickpocket']",95,430,60,Sharp Claw Pok̩mon,55,1059860,0.9,55,Sneasel,50.0,215,35,75,115,dark,ice,28.0,2,0
215,"['Pickup', 'Quick Feet', 'Honey Gather']",80,330,120,Little Bear Pok̩mon,50,1000000,0.6,60,Teddiursa,50.0,216,50,50,40,normal,,8.8,2,0
216,"['Guts', 'Quick Feet', 'Unnerve']",130,500,60,Hibernator Pok̩mon,75,1000000,1.8,90,Ursaring,50.0,217,75,75,55,normal,,125.8,2,0
217,"['Magma Armor', 'Flame Body', 'Weak Armor']",40,250,190,Lava Pok̩mon,40,1000000,0.7,40,Slugma,50.0,218,70,40,20,fire,,35.0,2,0
218,"['Magma Armor', 'Flame Body', 'Weak Armor']",50,430,75,Lava Pok̩mon,120,1000000,0.8,60,Magcargo,50.0,219,90,80,30,fire,rock,55.0,2,0
219,"['Oblivious', 'Snow Cloak', 'Thick Fat']",50,250,225,Pig Pok̩mon,40,1250000,0.4,50,Swinub,50.0,220,30,30,50,ice,ground,6.5,2,0
220,"['Oblivious', 'Snow Cloak', 'Thick Fat']",100,450,75,Swine Pok̩mon,80,1250000,1.1,100,Piloswine,50.0,221,60,60,50,ice,ground,55.8,2,0
221,"['Hustle', 'Natural Cure', 'Regenerator']",55,410,60,Coral Pok̩mon,95,800000,0.6,65,Corsola,24.6,222,65,95,35,water,rock,5.0,2,0
222,"['Hustle', 'Sniper', 'Moody']",65,300,190,Jet Pok̩mon,35,1000000,0.6,35,Remoraid,50.0,223,65,35,65,water,,12.0,2,0
223,"['Suction Cups', 'Sniper', 'Moody']",105,480,75,Jet Pok̩mon,75,1000000,0.9,75,Octillery,50.0,224,105,75,45,water,,28.5,2,0
224,"['Vital Spirit', 'Hustle', 'Insomnia']",55,330,45,Delivery Pok̩mon,45,800000,0.9,45,Delibird,50.0,225,65,45,75,ice,flying,16.0,2,0
225,"['Swift Swim', 'Water Absorb', 'Water Veil']",40,485,25,Kite Pok̩mon,70,1250000,2.1,85,Mantine,50.0,226,80,140,70,water,flying,220.0,2,0
226,"['Keen Eye', 'Sturdy', 'Weak Armor']",80,465,25,Armor Bird Pok̩mon,140,1250000,1.7,65,Skarmory,50.0,227,40,70,70,steel,flying,50.5,2,0
227,"['Early Bird', 'Flash Fire', 'Unnerve']",60,330,120,Dark Pok̩mon,30,1250000,0.6,45,Houndour,50.0,228,80,50,65,dark,fire,10.8,2,0
228,"['Early Bird', 'Flash Fire', 'Unnerve']",90,600,45,Dark Pok̩mon,90,1250000,1.4,75,Houndoom,50.0,229,140,90,115,dark,fire,35.0,2,0
229,"['Swift Swim', 'Sniper', 'Damp']",95,540,45,Dragon Pok̩mon,95,1000000,1.8,75,Kingdra,50.0,230,95,95,85,water,dragon,152.0,2,0
230,"['Pickup', 'Sand Veil']",60,330,120,Long Nose Pok̩mon,60,1000000,0.5,90,Phanpy,50.0,231,40,40,40,ground,,33.5,2,0
231,"['Sturdy', 'Sand Veil']",120,500,60,Armor Pok̩mon,120,1000000,1.1,90,Donphan,50.0,232,60,60,50,ground,,120.0,2,0
232,"['Trace', 'Download', 'Analytic']",80,515,45,Virtual Pok̩mon,90,1000000,0.6,85,Porygon2,,233,105,95,60,normal,,32.5,2,0
233,"['Intimidate', 'Frisk', 'Sap Sipper']",95,465,45,Big Horn Pok̩mon,62,1250000,1.4,73,Stantler,50.0,234,85,65,85,normal,,71.2,2,0
234,"['Own Tempo', 'Technician', 'Moody']",20,250,45,Painter Pok̩mon,35,800000,1.2,55,Smeargle,50.0,235,20,45,75,normal,,58.0,2,0
235,"['Guts', 'Steadfast', 'Vital Spirit']",35,210,75,Scuffle Pok̩mon,35,1000000,0.7,35,Tyrogue,100.0,236,35,35,35,fighting,,21.0,2,0
236,"['Intimidate', 'Technician', 'Steadfast']",95,455,45,Handstand Pok̩mon,95,1000000,1.4,50,Hitmontop,100.0,237,35,110,70,fighting,,48.0,2,0
237,"['Oblivious', 'Forewarn', 'Hydration']",30,305,45,Kiss Pok̩mon,15,1000000,0.4,45,Smoochum,0.0,238,85,65,65,ice,psychic,6.0,2,0
238,"['Static', 'Vital Spirit']",63,360,45,Electric Pok̩mon,37,1000000,0.6,45,Elekid,75.4,239,65,55,95,electric,,23.5,2,0
239,"['Flame Body', 'Vital Spirit']",75,365,45,Live Coal Pok̩mon,37,1000000,0.7,45,Magby,75.4,240,70,55,83,fire,,21.4,2,0
240,"['Thick Fat', 'Scrappy', 'Sap Sipper']",80,490,45,Milk Cow Pok̩mon,105,1250000,1.2,95,Miltank,0.0,241,40,70,100,normal,,75.5,2,0
241,"['Natural Cure', 'Serene Grace', 'Healer']",10,540,30,Happiness Pok̩mon,10,800000,1.5,255,Blissey,0.0,242,75,135,55,normal,,46.8,2,0
242,"['Pressure', 'Inner Focus']",85,580,3,Thunder Pok̩mon,75,1250000,1.9,90,Raikou,,243,115,100,115,electric,,178.0,2,1
243,"['Pressure', 'Inner Focus']",115,580,3,Volcano Pok̩mon,85,1250000,2.1,115,Entei,,244,90,75,100,fire,,198.0,2,1
244,"['Pressure', 'Inner Focus']",75,580,3,Aurora Pok̩mon,115,1250000,2.0,100,Suicune,,245,90,115,85,water,,187.0,2,1
245,"['Guts', 'Sand Veil']",64,300,45,Rock Skin Pok̩mon,50,1250000,0.6,50,Larvitar,50.0,246,45,50,41,rock,ground,72.0,2,0
246,['Shed Skin'],84,410,45,Hard Shell Pok̩mon,70,1250000,1.2,70,Pupitar,50.0,247,65,70,51,rock,ground,152.0,2,0
247,"['Sand Stream', 'Unnerve']",164,700,45,Armor Pok̩mon,150,1250000,2.0,100,Tyranitar,50.0,248,95,120,71,rock,dark,202.0,2,0
248,"['Pressure', 'Multiscale']",90,680,3,Diving Pok̩mon,130,1250000,5.2,106,Lugia,,249,90,154,110,psychic,flying,216.0,2,1
249,"['Pressure', 'Regenerator']",130,680,3,Rainbow Pok̩mon,90,1250000,3.8,106,Ho-Oh,,250,110,154,90,fire,flying,199.0,2,1
250,['Natural Cure'],100,600,45,Time Travel Pok̩mon,100,1059860,0.6,100,Celebi,,251,100,100,100,psychic,grass,5.0,2,1
251,"['Overgrow', 'Unburden']",45,310,45,Wood Gecko Pok̩mon,35,1059860,0.5,40,Treecko,88.1,252,65,55,70,grass,,5.0,3,0
252,"['Overgrow', 'Unburden']",65,405,45,Wood Gecko Pok̩mon,45,1059860,0.9,50,Grovyle,88.1,253,85,65,95,grass,,21.6,3,0
253,"['Overgrow', 'Unburden']",110,630,45,Forest Pok̩mon,75,1059860,1.7,70,Sceptile,88.1,254,145,85,145,grass,,52.2,3,0
254,"['Blaze', 'Speed Boost']",60,310,45,Chick Pok̩mon,40,1059860,0.4,45,Torchic,88.1,255,70,50,45,fire,,2.5,3,0
255,"['Blaze', 'Speed Boost']",85,405,45,Young Fowl Pok̩mon,60,1059860,0.9,60,Combusken,88.1,256,85,60,55,fire,fighting,19.5,3,0
256,"['Blaze', 'Speed Boost']",160,630,45,Blaze Pok̩mon,80,1059860,1.9,80,Blaziken,88.1,257,130,80,100,fire,fighting,52.0,3,0
257,"['Torrent', 'Damp']",70,310,45,Mud Fish Pok̩mon,50,1059860,0.4,50,Mudkip,88.1,258,50,50,40,water,,7.6,3,0
258,"['Torrent', 'Damp']",85,405,45,Mud Fish Pok̩mon,70,1059860,0.7,70,Marshtomp,88.1,259,60,70,50,water,ground,28.0,3,0
259,"['Torrent', 'Damp']",150,635,45,Mud Fish Pok̩mon,110,1059860,1.5,100,Swampert,88.1,260,95,110,70,water,ground,81.9,3,0
260,"['Run Away', 'Quick Feet', 'Rattled']",55,220,255,Bite Pok̩mon,35,1000000,0.5,35,Poochyena,50.0,261,30,30,35,dark,,13.6,3,0
261,"['Intimidate', 'Quick Feet', 'Moxie']",90,420,127,Bite Pok̩mon,70,1000000,1.0,70,Mightyena,50.0,262,60,60,70,dark,,37.0,3,0
262,"['Pickup', 'Gluttony', 'Quick Feet']",30,240,255,Tiny Racoon Pok̩mon,41,1000000,0.4,38,Zigzagoon,50.0,263,30,41,60,normal,,17.5,3,0
263,"['Pickup', 'Gluttony', 'Quick Feet']",70,420,90,Rush Pok̩mon,61,1000000,0.5,78,Linoone,50.0,264,50,61,100,normal,,32.5,3,0
264,"['Shield Dust', 'Run Away']",45,195,255,Worm Pok̩mon,35,1000000,0.3,45,Wurmple,50.0,265,20,30,20,bug,,3.6,3,0
265,['Shed Skin'],35,205,120,Cocoon Pok̩mon,55,1000000,0.6,50,Silcoon,50.0,266,25,25,15,bug,,10.0,3,0
266,"['Swarm', 'Rivalry']",70,395,45,Butterfly Pok̩mon,50,1000000,1.0,60,Beautifly,50.0,267,100,50,65,bug,flying,28.4,3,0
267,['Shed Skin'],35,205,120,Cocoon Pok̩mon,55,1000000,0.7,50,Cascoon,50.0,268,25,25,15,bug,,11.5,3,0
268,"['Shield Dust', 'Compoundeyes']",50,385,45,Poison Moth Pok̩mon,70,1000000,1.2,60,Dustox,50.0,269,50,90,65,bug,poison,31.6,3,0
269,"['Swift Swim', 'Rain Dish', 'Own Tempo']",30,220,255,Water Weed Pok̩mon,30,1059860,0.5,40,Lotad,50.0,270,40,50,30,water,grass,2.6,3,0
270,"['Swift Swim', 'Rain Dish', 'Own Tempo']",50,340,120,Jolly Pok̩mon,50,1059860,1.2,60,Lombre,50.0,271,60,70,50,water,grass,32.5,3,0
271,"['Swift Swim', 'Rain Dish', 'Own Tempo']",70,480,45,Carefree Pok̩mon,70,1059860,1.5,80,Ludicolo,50.0,272,90,100,70,water,grass,55.0,3,0
272,"['Chlorophyll', 'Early Bird', 'Pickpocket']",40,220,255,Acorn Pok̩mon,50,1059860,0.5,40,Seedot,50.0,273,30,30,30,grass,,4.0,3,0
273,"['Chlorophyll', 'Early Bird', 'Pickpocket']",70,340,120,Wily Pok̩mon,40,1059860,1.0,70,Nuzleaf,50.0,274,60,40,60,grass,dark,28.0,3,0
274,"['Chlorophyll', 'Early Bird', 'Pickpocket']",100,480,45,Wickid Pok̩mon,60,1059860,1.3,90,Shiftry,50.0,275,90,60,80,grass,dark,59.6,3,0
275,"['Guts', 'Scrappy']",55,270,200,TinySwallow Pok̩mon,30,1059860,0.3,40,Taillow,50.0,276,30,30,85,normal,flying,2.3,3,0
276,"['Guts', 'Scrappy']",85,455,45,Swallow Pok̩mon,60,1059860,0.7,60,Swellow,50.0,277,75,50,125,normal,flying,19.8,3,0
277,"['Keen Eye', 'Hydration', 'Rain Dish']",30,270,190,Seagull Pok̩mon,30,1000000,0.6,40,Wingull,50.0,278,55,30,85,water,flying,9.5,3,0
278,"['Keen Eye', 'Drizzle', 'Rain Dish']",50,440,45,Water Bird Pok̩mon,100,1000000,1.2,60,Pelipper,50.0,279,95,70,65,water,flying,28.0,3,0
279,"['Synchronize', 'Trace', 'Telepathy']",25,198,235,Feeling Pok̩mon,25,1250000,0.4,28,Ralts,50.0,280,45,35,40,psychic,fairy,6.6,3,0
280,"['Synchronize', 'Trace', 'Telepathy']",35,278,120,Emotion Pok̩mon,35,1250000,0.8,38,Kirlia,50.0,281,65,55,50,psychic,fairy,20.2,3,0
281,"['Synchronize', 'Trace', 'Telepathy']",85,618,45,Embrace Pok̩mon,65,1250000,1.6,68,Gardevoir,50.0,282,165,135,100,psychic,fairy,48.4,3,0
282,"['Swift Swim', 'Rain Dish']",30,269,200,Pond Skater Pok̩mon,32,1000000,0.5,40,Surskit,50.0,283,50,52,65,bug,water,1.7,3,0
283,"['Intimidate', 'Unnerve']",60,454,75,Eyeball Pok̩mon,62,1000000,0.8,70,Masquerain,50.0,284,100,82,80,bug,flying,3.6,3,0
284,"['Effect Spore', 'Poison Heal', 'Quick Feet']",40,295,255,Mushroom Pok̩mon,60,1640000,0.4,60,Shroomish,50.0,285,40,60,35,grass,,4.5,3,0
285,"['Effect Spore', 'Poison Heal', 'Technician']",130,460,90,Mushroom Pok̩mon,80,1640000,1.2,60,Breloom,50.0,286,60,60,70,grass,fighting,39.2,3,0
286,['Truant'],60,280,255,Slacker Pok̩mon,60,1250000,0.8,60,Slakoth,50.0,287,35,35,30,normal,,24.0,3,0
287,['Vital Spirit'],80,440,120,Wild Monkey Pok̩mon,80,1250000,1.4,80,Vigoroth,50.0,288,55,55,90,normal,,46.5,3,0
288,['Truant'],160,670,45,Lazy Pok̩mon,100,1250000,2.0,150,Slaking,50.0,289,95,65,100,normal,,130.5,3,0
289,"['Compoundeyes', 'Run Away']",45,266,255,Trainee Pok̩mon,90,600000,0.5,31,Nincada,50.0,290,30,30,40,bug,ground,5.5,3,0
290,"['Speed Boost', 'Infiltrator']",90,456,120,Ninja Pok̩mon,45,600000,0.8,61,Ninjask,50.0,291,50,50,160,bug,flying,12.0,3,0
291,['Wonder Guard'],90,236,45,Shed Pok̩mon,45,600000,0.8,1,Shedinja,,292,30,30,40,bug,ghost,1.2,3,0
292,"['Soundproof', 'Rattled']",51,240,190,Whisper Pok̩mon,23,1059860,0.6,64,Whismur,50.0,293,51,23,28,normal,,16.3,3,0
293,"['Soundproof', 'Scrappy']",71,360,120,Big Voice Pok̩mon,43,1059860,1.0,84,Loudred,50.0,294,71,43,48,normal,,40.5,3,0
294,"['Soundproof', 'Scrappy']",91,490,45,Loud Noise Pok̩mon,63,1059860,1.5,104,Exploud,50.0,295,91,73,68,normal,,84.0,3,0
295,"['Thick Fat', 'Guts', 'Sheer Force']",60,237,180,Guts Pok̩mon,30,1640000,1.0,72,Makuhita,75.4,296,20,30,25,fighting,,86.4,3,0
296,"['Thick Fat', 'Guts', 'Sheer Force']",120,474,200,Arm Thrust Pok̩mon,60,1640000,2.3,144,Hariyama,75.4,297,40,60,50,fighting,,253.8,3,0
297,"['Thick Fat', 'Huge Power', 'Sap Sipper']",20,190,150,Polka Dot Pok̩mon,40,800000,0.2,50,Azurill,24.6,298,20,40,20,normal,fairy,2.0,3,0
298,"['Sturdy', 'Magnet Pull', 'Sand Force']",45,375,255,Compass Pok̩mon,135,1000000,1.0,30,Nosepass,50.0,299,45,90,30,rock,,97.0,3,0
299,"['Cute Charm', 'Normalize', 'Wonder Skin ']",45,260,255,Kitten Pok̩mon,45,800000,0.6,50,Skitty,24.6,300,35,35,50,normal,,11.0,3,0
300,"['Cute Charm', 'Normalize', 'Wonder Skin ']",65,400,60,Prim Pok̩mon,65,800000,1.1,70,Delcatty,24.6,301,55,55,90,normal,,32.6,3,0
301,"['Keen Eye', 'Stall', 'Prankster']",85,480,45,Darkness Pok̩mon,125,1059860,0.5,50,Sableye,50.0,302,85,115,20,dark,ghost,11.0,3,0
302,"['Hyper Cutter', 'Intimidate', 'Sheer Force']",105,480,45,Deceiver Pok̩mon,125,800000,0.6,50,Mawile,50.0,303,55,95,50,steel,fairy,11.5,3,0
303,"['Sturdy', 'Rock Head', 'Heavy Metal']",70,330,180,Iron Armor Pok̩mon,100,1250000,0.4,50,Aron,50.0,304,40,40,30,steel,rock,60.0,3,0
304,"['Sturdy', 'Rock Head', 'Heavy Metal']",90,430,90,Iron Armor Pok̩mon,140,1250000,0.9,60,Lairon,50.0,305,50,50,40,steel,rock,120.0,3,0
305,"['Sturdy', 'Rock Head', 'Heavy Metal']",140,630,45,Iron Armor Pok̩mon,230,1250000,2.1,70,Aggron,50.0,306,60,80,50,steel,rock,360.0,3,0
306,"['Pure Power', 'Telepathy']",40,280,180,Meditate Pok̩mon,55,1000000,0.6,30,Meditite,50.0,307,40,55,60,fighting,psychic,11.2,3,0
307,"['Pure Power', 'Telepathy']",100,510,90,Meditate Pok̩mon,85,1000000,1.3,60,Medicham,50.0,308,80,85,100,fighting,psychic,31.5,3,0
308,"['Static', 'Lightningrod', 'Minus']",45,295,120,Lightning Pok̩mon,40,1250000,0.6,40,Electrike,50.0,309,65,40,65,electric,,15.2,3,0
309,"['Static', 'Lightningrod', 'Minus']",75,575,45,Discharge Pok̩mon,80,1250000,1.5,70,Manectric,50.0,310,135,80,135,electric,,40.2,3,0
310,"['Plus', 'Lightningrod']",50,405,200,Cheering Pok̩mon,40,1000000,0.4,60,Plusle,50.0,311,85,75,95,electric,,4.2,3,0
311,"['Minus', 'Volt Absorb']",40,405,200,Cheering Pok̩mon,50,1000000,0.4,60,Minun,50.0,312,75,85,95,electric,,4.2,3,0
312,"['Illuminate', 'Swarm', 'Prankster']",73,430,150,Firefly Pok̩mon,75,600000,0.7,65,Volbeat,100.0,313,47,85,85,bug,,17.7,3,0
313,"['Oblivious', 'Tinted Lens', 'Prankster']",47,430,150,Firefly Pok̩mon,75,1640000,0.6,65,Illumise,0.0,314,73,85,85,bug,,17.7,3,0
314,"['Natural Cure', 'Poison Point', 'Leaf Guard']",60,400,150,Thorn Pok̩mon,45,1059860,0.3,50,Roselia,50.0,315,100,80,65,grass,poison,2.0,3,0
315,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",43,302,225,Stomach Pok̩mon,53,1640000,0.4,70,Gulpin,50.0,316,43,53,40,poison,,10.3,3,0
316,"['Liquid Ooze', 'Sticky Hold', 'Gluttony']",73,467,75,Poison Bag Pok̩mon,83,1640000,1.7,100,Swalot,50.0,317,73,83,55,poison,,80.0,3,0
317,"['Rough Skin', 'Speed Boost']",90,305,225,Savage Pok̩mon,20,1250000,0.8,45,Carvanha,50.0,318,65,20,65,water,dark,20.8,3,0
318,"['Rough Skin', 'Speed Boost']",140,560,60,Brutal Pok̩mon,70,1250000,1.8,70,Sharpedo,50.0,319,110,65,105,water,dark,88.8,3,0
